Tonality type:         Intervals:                     Consonance:    Main Chords:
chromatic              (0,1,2,3,4,5,6,7,8,9,10,11)    0              (0)
ionian/major           (0,2,4,5,7,9,11)               10             (0,7,5)
aeolian/natural_minor  (0,2,3,5,7,8,10)               10             (0,10,5,8)
melodic_minor          (0,2,3,5,7,9,11)               9              (0,7,5)
harmonic_minor         (0,2,3,5,7,8,11)               9              (0,7,5)
dorian                 (0,2,3,5,7,9,10)               8              (0,10,5)
phrygian               (0,1,3,5,7,8,10)               7              (0,1)
lydian                 (0,2,4,6,7,9,11)               4              (0,7)
mixolydian             (0,2,4,5,7,9,10)               5              (0,10,5)
locrian                (0,1,3,5,6,8,10)               1              (0,5)
chinese_pentatonic     (0,2,5,7,9)                    8              (0,7,5)
whole_tone             (0,2,4,6,8,10)                 5              (0,8,4)
major_pentatonic       (0,2,4,7,9)                    6              (0,7,4)
minor_pentatonic       (0,3,5,7,10)                   6              (0,7,5)
major_blues            (0,2,3,4,7,9)                  3              (0,7,4)
minor_blues            (0,3,5,6,7,10)                 3              (0,7,5)
diminished             (0,1,3,4,6,7,9,10)             1              (0,7,4)
